rank,base_seed,verified_sister_seed,verified_sister_high32,verified_portal_tp,no_sister_found_high32_0_65535,eyes,pearls,total,pearl_radius,fortress_distance,blaze_spawner_distance,portal_y,origin_distance,portal_tp,portal_x,portal_y_coord,portal_z,stronghold_x,stronghold_z,chests,source_status
198,773254783,773254783,0,/tp @s -317 37 1386,no,6,6,12,66.174,223.707,246.549,37,1421.789,/tp @s -317 37 1386,-317,37,1386,-284,1396,"-336,30,1406:1;-369,18,1406:2;-344,12,1441:3",added
199,774109642,,,,yes,6,6,12,85.493,657.182,718.597,-3,1215.354,/tp @s 763 -3 -946,763,-3,-946,820,-972,"835,-6,-992:3;816,-6,-1007:1;827,2,-940:1;760,-4,-954:1",added
200,774782146,22249618626,5,/tp @s 165 10 -1027,no,6,6,12,30.1,2.625,28.329,10,1040.17,/tp @s 165 10 -1027,165,10,-1027,228,-1036,"190,15,-1011:2;177,3,-1028:1;170,3,-1028:3",added
201,777426675,22252263155,5,/tp @s -1324 -12 -274,no,6,6,12,46.152,159.960,222.676,-12,1352.055,/tp @s -1324 -12 -274,-1324,-12,-274,-1356,-252,"-1336,-15,-250:2;-1330,-13,-254:1;-1304,-19,-233:1;-1344,-13,-287:2",added
202,777861951,35137600319,8,/tp @s 769 0 -307,no,7,5,12,48.062,7.875,66.151,0,828.016,/tp @s 769 0 -307,769,0,-307,820,-332,"816,-1,-297:1;796,-15,-279:1;795,-7,-325:1;803,-15,-279:2",added
203,777920514,26547724290,6,/tp @s -1071 -9 72,no,6,6,12,55.669,115.637,222.614,-9,1073.417,/tp @s -1071 -9 72,-1071,-9,72,-1036,68,"-1054,-10,63:2;-1059,-16,54:1;-1046,-10,73:1;-1022,-22,49:2",added
204,785148557,,,,yes,7,5,12,49.83,152.443,158.329,-32,1317.507,/tp @s 1316 -32 63,1316,-32,63,1380,84,"1352,-29,70:1;1332,-33,102:1;1358,-33,49:1;1347,-33,24:2",added
205,786379997,5081347293,1,/tp @s 190 -9 1321,no,6,6,12,70.47,390.159,423.156,-9,1334.594,/tp @s 190 -9 1321,190,-9,1321,212,1284,"204,-12,1252:1;209,-12,1260:2;192,-16,1318:2;180,-18,1327:1",added
206,795668217,9385602809,2,/tp @s 180 8 1297,no,5,7,12,70.944,356.978,383.957,8,1309.431,/tp @s 180 8 1297,180,8,1297,212,1300,"218,9,1284:2;248,5,1277:2;240,5,1285:1;167,7,1280:2",added
207,810340165,9400274757,2,/tp @s -681 -30 625,no,7,5,12,57.637,158.922,253.312,-30,924.33,/tp @s -681 -30 625,-681,-30,625,-684,660,"-645,-29,670:2;-667,-31,638:1;-667,-31,631:2",added
208,813726177,22288562657,5,/tp @s 859 -24 785,no,6,6,12,36.51,470.695,492.534,-24,1163.661,/tp @s 859 -24 785,859,-24,785,868,756,"883,-15,766:1;883,-15,759:2;845,-25,776:1;850,-25,770:2",added
209,814799202,129663818082,30,/tp @s 39 -37 1360,no,8,4,12,85.872,416.592,511.716,-37,1360.559,/tp @s 39 -37 1360,39,-37,1360,68,1316,"59,-32,1307:1;40,-48,1288:2;62,-48,1278:1",added
210,818042560,5113009856,1,/tp @s -1052 40 333,no,7,5,12,52.858,250.550,329.233,40,1103.446,/tp @s -1052 40 333,-1052,40,333,-1068,372,"-1060,41,373:1;-1076,43,380:2;-1043,39,336:2",added
211,826612526,,,,yes,8,4,12,76.564,285.837,358.206,22,1453.278,/tp @s -356 22 -1409,-356,22,-1409,-300,-1404,"-317,23,-1376:1;-322,27,-1403:2;-283,29,-1387:1",added
212,832890731,,,,yes,6,6,12,67.963,237.305,327.785,-27,1215.541,/tp @s -854 -27 -865,-854,-27,-865,-844,-828,"-860,-28,-850:1;-859,-22,-811:2;-823,-28,-820:2;-817,-28,-808:1",added
213,835765488,,,,yes,6,6,12,82.061,102.375,215.737,-14,845.123,/tp @s 308 -14 787,308,-14,787,340,820,"341,-19,828:2;315,-17,799:1;366,-25,844:2;358,-31,789:1",added
214,839203516,9429138108,2,/tp @s -548 18 -1022,no,7,5,12,63.765,212.713,335.899,18,1159.65,/tp @s -548 18 -1022,-548,18,-1022,-492,-972,"-522,21,-998:1;-524,15,-1081:2;-550,15,-1037:2",added
215,841341810,9431276402,2,/tp @s 1279 7 183,no,4,8,12,49.254,307.241,437.458,7,1292.026,/tp @s 1279 7 183,1279,7,183,1284,148,"1275,10,134:3;1266,8,140:3;1280,6,169:1;1258,8,167:1",added
216,842660833,,,,yes,6,6,12,59.691,302.864,355.212,14,941.237,/tp @s 758 14 558,758,14,558,788,548,"777,13,564:2;773,17,543:2;817,13,549:2",added
217,842918131,35202656499,8,/tp @s 1102 0 -246,no,6,6,12,49.82,382.119,413.446,0,1129.124,/tp @s 1102 0 -246,1102,0,-246,1140,-268,"1092,-5,-249:1;1115,-11,-220:2;1093,-15,-200:1;1078,-15,-205:2",added
218,848386082,848386082,0,/tp @s -788 10 -415,no,8,4,12,50.577,468.556,517.033,10,890.6,/tp @s -788 10 -415,-788,10,-415,-748,-428,"-750,15,-448:2;-781,11,-434:2",added
219,851684923,9441619515,2,/tp @s 219 15 -1428,no,6,6,12,52.555,191.242,262.933,15,1444.695,/tp @s 219 15 -1428,219,15,-1428,244,-1468,"168,12,-1427:2;206,2,-1436:2;167,18,-1421:2",added
220,853228236,5148195532,1,/tp @s 176 -20 822,no,8,4,12,69.072,357.750,399.888,-20,840.631,/tp @s 176 -20 822,176,-20,822,196,788,"205,-19,771:1;185,-21,807:2;233,-19,783:1",added
221,853955489,,,,yes,6,6,12,49.99,476.860,481.072,32,1227.932,/tp @s -890 32 -846,-890,32,-846,-924,-876,"-924,37,-862:1;-894,19,-841:1;-855,25,-881:1;-874,19,-862:3",added
222,861151057,91055464273,21,/tp @s 585 -19 -1124,no,4,8,12,92.704,501.526,543.830,-19,1267.123,/tp @s 585 -19 -1124,585,-19,-1124,564,-1068,"566,-20,-1118:2;578,-30,-1098:1;583,-26,-1135:3;558,-30,-1036:2",added
223,864922575,864922575,0,/tp @s -1037 29 -3,no,7,5,12,35.917,269.513,336.803,29,1037.004,/tp @s -1037 29 -3,-1037,29,-3,-1020,20,"-1029,30,32:1;-1052,30,26:2;-1046,32,4:2",added
224,865448390,13750350278,3,/tp @s 812 -38 752,no,7,5,12,77.169,472.542,534.239,-38,1106.729,/tp @s 812 -38 752,812,-38,752,836,724,"797,-33,723:2;826,-45,738:2;813,-33,675:1",added
225,867542953,867542953,0,/tp @s 879 -1 -936,no,7,5,12,62.249,604.776,700.878,-1,1284.032,/tp @s 879 -1 -936,879,-1,-936,884,-876,"906,4,-894:2;865,4,-925:1;854,-2,-879:2",added
226,868258792,22343095272,5,/tp @s -1216 25 -409,no,8,4,12,80.685,173.632,205.198,25,1282.941,/tp @s -1216 25 -409,-1216,25,-409,-1292,-428,"-1265,26,-401:3;-1271,14,-467:1",added
227,872221213,,,,yes,8,4,12,55.543,363.156,476.357,23,1432.45,/tp @s -1406 23 -274,-1406,23,-274,-1388,-220,"-1404,40,-230:1;-1392,22,-273:1;-1364,28,-238:2",added
228,875057754,875057754,0,/tp @s 188 29 870,no,8,4,12,33.015,285.605,311.501,29,890.081,/tp @s 188 29 870,188,29,870,180,836,"211,30,876:1;211,30,883:1;221,28,870:2",added
229,881253762,881253762,0,/tp @s -861 -9 -856,no,5,7,12,38.588,211.650,289.171,-9,1214.107,/tp @s -861 -9 -856,-861,-9,-856,-860,-892,"-843,-6,-890:2;-848,-2,-884:2;-849,-10,-877:2;-879,-4,-872:1",added
230,883276375,,,,yes,6,6,12,97.581,266.543,337.648,41,1488.0,/tp @s 1191 41 892,1191,41,892,1140,916,"1175,40,915:1;1127,16,961:2;1113,22,936:2;1106,22,936:1",added
231,883586951,56718161799,13,/tp @s 1353 16 52,no,8,4,12,27.092,25.500,110.262,16,1353.999,/tp @s 1353 16 52,1353,16,52,1332,84,"1334,21,67:1;1340,25,74:2;1337,25,38:1",added
232,895918466,,,,yes,5,7,12,48.929,0.000,50.052,-22,1265.01,/tp @s -359 -22 1213,-359,-22,1213,-332,1268,"-327,-23,1250:2;-328,-29,1239:3;-364,-21,1230:2",added
233,899857721,22374694201,5,/tp @s 258 -6 -1455,no,8,5,13,83.678,337.535,366.296,-6,1477.697,/tp @s 258 -6 -1455,258,-6,-1455,276,-1420,"267,3,-1424:2;317,-1,-1405:1;329,-1,-1411:2",added
234,908531732,86807877652,20,/tp @s 154 -21 -1383,no,7,5,12,32.326,77.811,129.995,-21,1391.548,/tp @s 154 -21 -1383,154,-21,-1383,180,-1356,"166,-20,-1370:1;166,-20,-1353:1;149,-20,-1352:3",added
235,908966701,65333476141,15,/tp @s 1193 25 565,no,5,7,12,53.235,333.949,388.582,25,1320.028,/tp @s 1193 25 565,1193,25,565,1172,580,"1153,18,589:1;1146,18,589:1;1159,26,551:3;1175,26,572:2",added
236,923523391,26693327167,6,/tp @s 1308 -7 96,no,6,6,12,41.049,617.824,755.502,-7,1311.518,/tp @s 1308 -7 96,1308,-7,96,1348,116,"1338,-6,124:2;1322,-12,124:2;1291,-12,128:2",added
237,925027337,,,,yes,9,3,12,84.273,378.049,492.548,-31,829.229,/tp @s 736 -31 -382,736,-31,-382,772,-428,"762,-22,-437:1;757,-28,-455:1;778,-28,-455:1",added
238,931152046,9521086638,2,/tp @s 736 22 288,no,5,7,12,54.818,140.186,232.045,22,790.342,/tp @s 736 22 288,736,22,288,708,324,"711,21,267:2;717,23,280:1;729,17,273:3;688,27,314:1",added
239,932266532,82536645156,19,/tp @s 47 25 -1292,no,7,6,13,73.417,283.867,296.129,25,1292.855,/tp @s 47 25 -1292,47,25,-1292,84,-1356,"104,20,-1338:2;65,24,-1333:2;55,24,-1338:1;67,22,-1314:1",added
240,932714917,9522649509,2,/tp @s -976 17 -881,no,7,5,12,45.409,213.119,327.948,17,1314.814,/tp @s -976 17 -881,-976,17,-881,-956,-860,"-955,16,-880:1;-931,16,-875:2;-939,16,-867:2",added
241,933550259,933550259,0,/tp @s 749 15 145,no,7,6,13,41.049,199.654,332.403,15,762.906,/tp @s 749 15 145,749,15,145,756,164,"779,16,173:2;761,8,147:2;748,8,141:1;741,8,141:1",added
